Date,Ticker,Open Price,High Price,Low Price,Close Price
2020/1/1,USDCNY=X,6.962299823760986,6.962299823760986,6.962200164794922,6.962299823760986
2020/1/2,USDCNY=X,6.962200164794922,6.9730000495910645,6.959799766540527,6.962200164794922
2020/1/3,USDCNY=X,6.963399887084961,6.974400043487549,6.959099769592285,6.963399887084961
2020/1/6,USDCNY=X,6.9644999504089355,6.977499961853027,6.9644999504089355,6.9644999504089355
2020/1/7,USDCNY=X,6.9745001792907715,6.974999904632568,6.930799961090088,6.9745001792907715
2020/1/8,USDCNY=X,6.944399833679199,6.953000068664551,6.93149995803833,6.944399833679199
2020/1/9,USDCNY=X,6.945199966430664,6.951600074768066,6.945099830627441,6.945199966430664
2020/1/10,USDCNY=X,6.951700210571289,6.955999851226807,6.909299850463867,6.951700210571289
2020/1/13,USDCNY=X,6.909299850463867,6.9141998291015625,6.883699893951416,6.909299850463867
2020/1/14,USDCNY=X,6.8927001953125,6.900300025939941,6.86460018157959,6.8927001953125
2020/1/15,USDCNY=X,6.900400161743164,6.900400161743164,6.882800102233887,6.900300025939941
2020/1/16,USDCNY=X,6.889800071716309,6.890699863433838,6.870100021362305,6.889800071716309
2020/1/17,USDCNY=X,6.8780999183654785,6.8780999183654785,6.85260009765625,6.8780999183654785
2020/1/20,USDCNY=X,6.858699798583984,6.865900039672852,6.839799880981445,6.858699798583984
2020/1/21,USDCNY=X,6.865799903869629,6.9079999923706055,6.865799903869629,6.865799903869629
2020/1/22,USDCNY=X,6.904799938201904,6.916200160980225,6.888000011444092,6.904799938201904
2020/1/23,USDCNY=X,6.905700206756592,6.935699939727783,6.905700206756592,6.905700206756592
2020/1/24,USDCNY=X,6.9355998039245605,6.935699939727783,6.9355998039245605,6.9355998039245605
2020/1/27,USDCNY=X,6.935699939727783,6.935699939727783,6.935200214385986,6.935699939727783
2020/1/28,USDCNY=X,6.935699939727783,6.935800075531006,6.935699939727783,6.935699939727783
2020/1/29,USDCNY=X,6.935699939727783,6.935800075531006,6.935699939727783,6.935699939727783
2020/1/30,USDCNY=X,6.935699939727783,6.935800075531006,6.935699939727783,6.935699939727783
2020/1/31,USDCNY=X,6.935699939727783,6.935800075531006,6.935699939727783,6.935699939727783
2020/2/3,USDCNY=X,6.935699939727783,7.024600028991699,6.9355998039245605,6.935699939727783
2020/2/4,USDCNY=X,7.020599842071533,7.023200035095215,6.982800006866455,7.020599842071533
2020/2/5,USDCNY=X,6.997499942779541,7.005799770355225,6.969099998474121,6.997499942779541
2020/2/6,USDCNY=X,6.972799777984619,6.981200218200684,6.952099800109863,6.972799777984619
2020/2/7,USDCNY=X,6.969799995422363,7.001399993896484,6.969799995422363,6.969799995422363
2020/2/10,USDCNY=X,7.0005998611450195,7.001299858093262,6.973599910736084,7.0005998611450195
2020/2/11,USDCNY=X,6.983500003814697,6.983500003814697,6.961599826812744,6.983500003814697
2020/2/12,USDCNY=X,6.964900016784668,6.975299835205078,6.9583001136779785,6.964900016784668
2020/2/13,USDCNY=X,6.9710001945495605,6.984399795532227,6.968599796295166,6.9710001945495605
2020/2/14,USDCNY=X,6.976399898529053,6.987100124359131,6.9720001220703125,6.976399898529053
2020/2/17,USDCNY=X,6.986100196838379,6.986100196838379,6.970300197601318,6.986100196838379
2020/2/18,USDCNY=X,6.979300022125244,7.005899906158447,6.979100227355957,6.979300022125244
2020/2/19,USDCNY=X,6.996200084686279,7.00629997253418,6.983500003814697,6.996200084686279
2020/2/20,USDCNY=X,6.997200012207031,7.024700164794922,6.997200012207031,6.997200012207031
2020/2/21,USDCNY=X,7.02239990234375,7.041500091552734,7.019100189208984,7.02239990234375
