Date,Tricker,Open Price,High Price,Low Price,Close Price
2020/1/1,GBPUSD=X,1.3254003524780273,1.3270995616912842,1.3218770027160645,1.326259970664978
2020/1/2,GBPUSD=X,1.3250473737716675,1.3267878293991089,1.312508225440979,1.3250298500061035
2020/1/3,GBPUSD=X,1.314388632774353,1.316118597984314,1.305483102798462,1.3152703046798706
2020/1/6,GBPUSD=X,1.3081300258636475,1.3173998594284058,1.3065404891967773,1.308010220527649
2020/1/7,GBPUSD=X,1.3171932697296143,1.3212134838104248,1.3096375465393066,1.317002534866333
2020/1/8,GBPUSD=X,1.311131477355957,1.3169505596160889,1.3082668781280518,1.31137216091156
2020/1/9,GBPUSD=X,1.3105816841125488,1.312456488609314,1.3015071153640747,1.3105130195617676
2020/1/10,GBPUSD=X,1.3069332838058472,1.309569001197815,1.3049379587173462,1.3070186376571655
2020/1/13,GBPUSD=X,1.3043761253356934,1.3046314716339111,1.2961931228637695,1.3045634031295776
2020/1/14,GBPUSD=X,1.298770546913147,1.3018969297409058,1.2956725358963013,1.2988194227218628
2020/1/15,GBPUSD=X,1.3022528886795044,1.3041210174560547,1.2989206314086914,1.3022528886795044
2020/1/16,GBPUSD=X,1.3041210174560547,1.3081642389297485,1.302897572517395,1.3041210174560547
2020/1/17,GBPUSD=X,1.3077878952026367,1.3115785121917725,1.3017781972885132,1.3078734874725342
2020/1/20,GBPUSD=X,1.3007115125656128,1.3009653091430664,1.2964787483215332,1.3007283210754395
2020/1/21,GBPUSD=X,1.3007283210754395,1.3084039688110352,1.2995991706848145,1.3005592823028564
2020/1/22,GBPUSD=X,1.3046314716339111,1.3149763345718384,1.3037809133529663,1.3048017024993896
2020/1/23,GBPUSD=X,1.3147515058517456,1.3151837587356567,1.3098434209823608,1.3144749402999878
2020/1/24,GBPUSD=X,1.311991572380066,1.3160665035247803,1.3059945106506348,1.311991572380066
2020/1/27,GBPUSD=X,1.306165099143982,1.3103067874908447,1.3051422834396362,1.3061821460723877
2020/1/28,GBPUSD=X,1.3059945106506348,1.3068478107452393,1.2977573871612549,1.3060115575790405
2020/1/29,GBPUSD=X,1.3024003505706787,1.3031013011932373,1.2991230487823486,1.3024563789367676
2020/1/30,GBPUSD=X,1.3022528886795044,1.3109596967697144,1.2980438470840454,1.3022021055221558
2020/1/31,GBPUSD=X,1.3086265325546265,1.3196094036102295,1.3086265325546265,1.3089004755020142
2020/2/3,GBPUSD=X,1.3180787563323975,1.3183393478393555,1.3001364469528198,1.31816565990448
2020/2/4,GBPUSD=X,1.2997310161590576,1.3042571544647217,1.2943978309631348,1.2997479438781738
2020/2/5,GBPUSD=X,1.3031353950500488,1.3070015907287598,1.2958570718765259,1.3032711744308472
2020/2/6,GBPUSD=X,1.2997140884399414,1.3000519275665283,1.2924071550369263,1.2997140884399414
2020/2/7,GBPUSD=X,1.2930086851119995,1.2955045700073242,1.2900062799453735,1.2930254936218262
