Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,2.34018843078414,8.57008513166322,3.1341888719577,5.41484330099675,4.9773565917572
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United Kingdom,GBR,-10.29691886,8.57595087393024,4.83908517877134,0.39708234553963,1.10066786639271
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,-2.163029139,6.05505293304556,2.5123753198332,2.88755600905984,2.79619035621393
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Japan,JPN,-4.168764571,2.69657404187188,0.941998775483285,1.47503481053384,0.0836985643852159
