Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,China,CHN,2.41942189457778,0.981015135544894,1.97357555739052,0.23483682889306,0.218128938439166
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,United Kingdom,GBR,0.989486703772449,2.5183710961421,7.92204883147907,6.79396706793964,3.27157294635921
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,United States,USA,1.23358439630629,4.69785886363742,8.00279982052121,4.11633838374488,2.94952520485207
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Japan,JPN,-0.024995834,-0.233352779,2.49770278172251,3.26813365933164,2.73853681635243
