Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Real effective exchange rate index,PX.REX.REER,China,CHN,123.643055762679,127.325330157034,126.204368908011,116.04249225953,113.053059419462
Real effective exchange rate index ,PX.REX.REER,United States,USA,118.007732851721,115.628982489944,126.768525946282,127.550821474317,130.565443474868
Real effective exchange rate index ,PX.REX.REER,United Kingdom,GBR,98.7990327903959,102.618394669537,101.267705071673,103.919980647272,108.336738800046
Real effective exchange rate index,PX.REX.REER,Japan,JPN,77.3096908524366,70.6902019556173,61.1900772654699,58.1250339589343,55.0063408109665
