Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/10,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/11,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/12,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/13,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/14,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/15,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/16,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/17,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/18,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/19,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/20,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/21,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/22,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/23,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/24,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/25,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/26,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/27,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/28,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/29,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/30,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/31,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/1,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/2,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/3,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/4,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/5,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/6,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/7,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/8,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/9,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/10,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/11,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/12,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/13,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/14,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/15,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/16,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/17,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/18,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/19,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/20,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/21,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/22,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/23,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/24,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/25,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/26,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/27,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/28,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/29,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/11/30,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/1,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/2,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/3,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/4,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/5,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/6,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/7,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/8,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/9,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/10,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/11,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/12/12,0.15
