Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/8,0.01
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/9,0.01
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/10,
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/13,0.02
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/14,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/15,0.03
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/16,0.03
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/17,0.03
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/20,0.02
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/21,0.01
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/22,0.01
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/23,0.01
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/24,0.03
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/27,0.03
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/28,0.01
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/29,0.01
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/4/30,0.04
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/1,0.03
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/4,0.05
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/5,0.05
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/6,0.05
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/7,0.05
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/8,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/11,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/12,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/13,0.04
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/14,0.02
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/15,0.05
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/18,0.04
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/19,0.04
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/20,0.01
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/21,0.02
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/22,0.04
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/25,
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/26,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/27,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/28,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/5/29,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/1,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/2,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/3,0.06
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/4,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/5,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/8,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/9,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/10,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/11,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/12,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/15,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/16,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/17,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/18,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/19,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/22,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/23,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/24,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/25,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/26,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/29,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/6/30,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/1,0.11
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/2,0.11
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/3,
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/6,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/7,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/8,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/9,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/10,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/13,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/14,0.11
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/15,0.13
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/16,0.12
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/17,0.12
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/20,0.12
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/21,0.11
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/22,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/23,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/24,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/27,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/28,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/29,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/30,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/7/31,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/3,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/4,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/5,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/6,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/7,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/10,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/11,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/12,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/13,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/14,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/17,0.1
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/18,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/19,0.09
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/20,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/21,0.07
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/24,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/25,0.08
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/8/26,0.07
